"time","name","acceleration"
"T-00:00:05","engine_start","1"
"T-00:00:04","launch",""
"T+00:00:00","mission_start","1"
"T+00:00:01","liftoff","1.6"
"T+00:00:16","pitch_program_start",""
"T+00:00:40","pitch_program_end",""
"T+00:00:50","max_q",""
"T+00:01:30","beco",""
"T+00:01:41","tower_jett",""
"T+00:01:48","seco","0"
"T+00:01:52","sep_capsule",""
"T+00:02:00","turnaround",""
"T+00:02:10","orbit_phase",""
"T+00:02:30","apogee",""
"T+00:05:15","retrofire",""
"T+00:05:45","retract_periscope",""
"T+00:06:15","jett_retro",""
"T+00:06:20","retro_att",""
"T+00:07:15","0.05g","0.05"
"T+00:09:38","drogue",""
"T+00:09:45","snorkel",""
"T+00:10:15","main",""
"T+00:10:20","landing_bag",""
"T+00:10:20","fuel_dump",""
"T+00:15:22","splashdown",""
"T+00:15:30","rescue_aids",""
