time,name,acceleration
T-00:00:05,engine_start,1
T-00:00:04,launch,1
T+00:00:00,mission_start,1
T+00:00:01,liftoff,1.6
T+00:00:16,pitch_program_start,
T+00:00:40,pitch_program_end,
T+00:01:24,max_q,
T+00:02:09,pre-beco,5.5
T+00:02:10,beco,1.7
T+00:00:03,tower_jett,
T+00:02:35,pitchover,
T+00:05:19,pre_seco,7.4
T+00:05:20,seco,0
T+00:05:24,sep_capsule,0
T+00:05:35,turnaround,0
T+00:05:36,orbit_phase,0
T+00:05:15,retrofire,
T+00:05:45,retract_periscope,0
T+00:06:15,jett_retro,0
T+00:06:20,retro_att,0
T+00:07:15,0.05g,0.05
T+00:09:38,drogue,
T+00:09:45,snorkel,
T+00:10:15,main,
T+00:10:20,landing_bag,
T+00:10:20,fuel_dump,
T+00:15:22,splashdown,
T+00:15:30,rescue_aids,
